pushl, 754
movl, 749
popl, 76
ret, 17
bsrl, 1
xorl, 48
subl, 393
call, 302
addl, 310
leal, 196
cmpl, 34
jge, 2
movzbl, 19
movb, 20
jmp, 37
jbe, 1
je, 61
testb, 27
andl, 2
sarl, 14
sall, 7
setne, 1
setg, 3
jne, 5
testl, 4
setb, 4
ja, 1
jnb, 2
shrl, 6
negl, 1
sete, 1
setle, 1
jl, 2
jle, 4
